SKU,nombre_comercial,descripcion,precio_unitario,peso_unitario,volumen_unitario,medida_primaria,unidad_venta,imagen
PPG-0001,DRY FINISH PRO - Recubrimientos en polvo,Producto existente para probar omitidos en CU12,1619.00,39.00,12.00,litros,tambor,/img/productos/ppg-0001.png
PPG-0002,WALL PROTECT - Revestimientos arquitectonicos,Producto existente para probar omitidos en CU12,3786.00,25.00,34.00,piezas,cubeta,/img/productos/ppg-0002.png
PPG-0003,PACK COAT SAFE - Recubrimientos para envases,Producto existente para probar omitidos en CU12,2527.00,47.00,40.00,piezas,tambor,/img/productos/ppg-0003.png
PPG-0004,POWDER COAT X - Recubrimientos en polvo,Producto existente para probar omitidos en CU12,1423.00,30.00,43.00,litros,caja,/img/productos/ppg-0004.png
PPG-0005,MARINE SHIELD - Recubrimientos marinos,Producto existente para probar omitidos en CU12,2721.00,21.00,26.00,litros,caja,/img/productos/ppg-0005.png
CU12N-101,Nuevo Trial Coat 101,Producto nuevo de prueba para escenario mixto lote 101,1410.50,11.20,4.80,litros,cubeta,/img/productos/cu12n-101.png
CU12N-102,Nuevo Trial Coat 102,Producto nuevo de prueba para escenario mixto lote 102,1455.00,11.60,4.95,litros,cubeta,/img/productos/cu12n-102.png
CU12N-103,Nuevo Trial Coat 103,Producto nuevo de prueba para escenario mixto lote 103,1520.75,12.10,5.10,kg,caja,/img/productos/cu12n-103.png
CU12N-104,Nuevo Trial Coat 104,Producto nuevo de prueba para escenario mixto lote 104,1588.40,12.50,5.35,kg,caja,/img/productos/cu12n-104.png
CU12N-105,Nuevo Trial Coat 105,Producto nuevo de prueba para escenario mixto lote 105,1666.90,13.00,5.60,piezas,unidad,/img/productos/cu12n-105.png
